repo_name,repo_link,stars,language,topic_name,description
google / material-design-icons,https://github.com/google/material-design-icons,51.3k,Unknown,Android,Material Design icons by Google (Material Symbols)
laurent22 / joplin,https://github.com/laurent22/joplin,48.5k,TypeScript,Android,"Joplin - the privacy-focused note taking app with sync capabilities for Windows, macOS, Linux, Android and iOS."
appwrite / appwrite,https://github.com/appwrite/appwrite,47.9k,TypeScript,Android,Build like a team of hundreds_
square / okhttp,https://github.com/square/okhttp,46.3k,Kotlin,Android,"Square’s meticulous HTTP client for the JVM, Android, and GraalVM."
ansible / ansible,https://github.com/ansible/ansible,64.5k,Python,Ansible,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems."
trailofbits / algo,https://github.com/trailofbits/algo,29.3k,Jinja,Ansible,Set up a personal VPN in the cloud
MichaelCade / 90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,27.8k,Shell,Ansible,"This repository started out as a learning in public project for myself and has now become a structured learning map for many in the community. We have 3 years under our belt covering all things DevOps, including Principles, Processes, Tooling and Use Cases surrounding this vast topic."
StreisandEffect / streisand,https://github.com/StreisandEffect/streisand,23.3k,Shell,Ansible,"Streisand sets up a new server running your choice of WireGuard, OpenConnect, OpenSSH, OpenVPN, Shadowsocks, sslh, Stunnel, or a Tor bridge. It also generates custom instructions for all of these services. At the end of the run you are given an HTML file with instructions that can be shared with friends, family members, and fellow activists."
Binaryify / NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,30.3k,Unknown,API,网易云音乐 Node.js API service
directus / directus,https://github.com/directus/directus,29.7k,TypeScript,API,"The flexible backend for all your projects 🐰 Turn your DB into a headless CMS, admin panels, or apps with a custom UI, instant APIs, auth & more."
encode / django-rest-framework,https://github.com/encode/django-rest-framework,29k,Python,API,Web APIs for Django. 🎸
android / architecture-samples,https://github.com/android/architecture-samples,44.9k,Kotlin,Android,A collection of samples to discuss and showcase different architectural tools and patterns for Android apps.
square / retrofit,https://github.com/square/retrofit,43.4k,HTML,Android,A type-safe HTTP client for Android and the JVM
skylot / jadx,https://github.com/skylot/jadx,43.4k,Java,Android,Dex to Java decompiler
kubernetes-sigs / kubespray,https://github.com/kubernetes-sigs/kubespray,16.8k,Jinja,Ansible,Deploy a Production Ready Kubernetes Cluster
ansible / awx,https://github.com/ansible/awx,14.5k,Python,Ansible,"AWX provides a web-based user interface, REST API, and task engine built on top of Ansible. It is one of the upstream projects for Red Hat Ansible Automation Platform."
semaphoreui / semaphore,https://github.com/semaphoreui/semaphore,11.6k,Go,Ansible,"Modern UI and powerful API for Ansible, Terraform, OpenTofu, PowerShell and other DevOps tools."
easzlab / kubeasz,https://github.com/easzlab/kubeasz,10.8k,Jinja,Ansible,使用Ansible脚本安装K8S集群，介绍组件交互原理，方便直接，不受国内网络环境影响
chatanywhere / GPT_API_free,https://github.com/chatanywhere/GPT_API_free,28.7k,Python,API,Free ChatGPT&DeepSeek API Key，免费ChatGPT&DeepSeek API。免费接入DeepSeek API和GPT4 API，支持 gpt | deepseek | claude | gemini | grok 等排名靠前的常用大模型。
YMFE / yapi,https://github.com/YMFE/yapi,27.5k,JavaScript,API,YApi 是一个可本地部署的、打通前后端及QA的、可视化的接口管理平台
dcloudio / uni-app,https://github.com/dcloudio/uni-app,40.6k,JavaScript,Android,A cross-platform framework using Vue.js
termux / termux-app,https://github.com/termux/termux-app,40.2k,Java,Android,Termux - a terminal emulator application for Android OS extendible by variety of packages.
fastlane / fastlane,https://github.com/fastlane/fastlane,40k,Ruby,Android,🚀 The easiest way to automate building and releasing your iOS and Android apps
2dust / v2rayNG,https://github.com/2dust/v2rayNG,39.5k,Kotlin,Android,"A V2Ray client for Android, support Xray core and v2fly core"
KRTirtho / spotube,https://github.com/KRTirtho/spotube,39.2k,Dart,Android,🎧 Open source Spotify client that doesn't require Premium nor uses Electron! Available for both desktop & mobile!
netbootxyz / netboot.xyz,https://github.com/netbootxyz/netboot.xyz,10k,Jinja,Ansible,Your favorite operating systems in one place. A network-based bootable operating system installer based on iPXE.
geerlingguy / ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,8.9k,Python,Ansible,Ansible for DevOps examples.
Tikam02 / DevOps-Guide,https://github.com/Tikam02/DevOps-Guide,8.6k,HTML,Ansible,DevOps Guide - Development to Production all configurations with basic notes to debug efficiently.
khuedoan / homelab,https://github.com/khuedoan/homelab,8.5k,Python,Ansible,Fully automated homelab from empty disk to running services with a single command.
geerlingguy / mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook,6.4k,Shell,Ansible,Mac setup and configuration via Ansible.
Orange-Cyberdefense / GOAD,https://github.com/Orange-Cyberdefense/GOAD,6.2k,PowerShell,Ansible,game of active directory
rundeck / rundeck,https://github.com/rundeck/rundeck,5.7k,Groovy,Ansible,"Enable Self-Service Operations: Give specific users access to your existing tools, services, and scripts"
ChristianLempa / boilerplates,https://github.com/ChristianLempa/boilerplates,5.4k,HCL,Ansible,"This is my personal template collection. Here you'll find templates, and configurations for various tools, and technologies."
mrdoob / three.js,https://github.com/mrdoob/three.js,105k,JavaScript,3D,JavaScript 3D Library.
justjavac / free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,113k,Unknown,Angular,📚 免费的计算机编程类中文书籍，欢迎投稿
ljianshu / Blog,https://github.com/ljianshu/Blog,7.9k,JavaScript,Ajax,关注基础知识，打造优质前端博客，公众号[前端工匠]的作者
KubeOperator / KubeOperator,https://github.com/KubeOperator/KubeOperator,5k,Go,Ansible,KubeOperator 是一个开源的轻量级 Kubernetes 发行版，专注于帮助企业规划、部署和运营生产级别的 K8s 集群。
clong / DetectionLab,https://github.com/clong/DetectionLab,4.7k,HTML,Ansible,Automate the creation of a lab environment complete with security tooling and logging best practices
dev-sec / ansible-collection-hardening,https://github.com/dev-sec/ansible-collection-hardening,4.3k,Jinja,Ansible,"This Ansible collection provides battle tested hardening for Linux, SSH, nginx, MySQL"
pmndrs / react-three-fiber,https://github.com/pmndrs/react-three-fiber,28.5k,TypeScript,3D,🇨🇭 A React renderer for Three.js
libgdx / libgdx,https://github.com/libgdx/libgdx,23.9k,Java,3D,Desktop/Android/HTML5/iOS Java game development framework
BabylonJS / Babylon.js,https://github.com/BabylonJS/Babylon.js,23.9k,TypeScript,3D,"Babylon.js is a powerful, beautiful, simple, and open game and rendering engine packed into a friendly JavaScript framework."
FreeCAD / FreeCAD,https://github.com/FreeCAD/FreeCAD,23.7k,C++,3D,"This is the official source code of FreeCAD, a free and opensource multiplatform 3D parametric modeler."
angular / angular,https://github.com/angular/angular,97.4k,TypeScript,Angular,Deliver web apps with confidence 🚀
storybookjs / storybook,https://github.com/storybookjs/storybook,86.3k,TypeScript,Angular,"Storybook is the industry standard workshop for building, documenting, and testing UI components in isolation"
leonardomso / 33-js-concepts,https://github.com/leonardomso/33-js-concepts,65k,JavaScript,Angular,📜 33 JavaScript concepts every developer should know.
ionic-team / ionic-framework,https://github.com/ionic-team/ionic-framework,51.6k,TypeScript,Angular,"A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript."
metafizzy / infinite-scroll,https://github.com/metafizzy/infinite-scroll,7.5k,HTML,Ajax,📜 Automatically add next page
olifolkerd / tabulator,https://github.com/olifolkerd/tabulator,7k,JavaScript,Ajax,Interactive Tables and Data Grids for JavaScript
developit / unfetch,https://github.com/developit/unfetch,5.7k,JavaScript,Ajax,🐕 Bare minimum 500b fetch polyfill.
ssloy / tinyrenderer,https://github.com/ssloy/tinyrenderer,21.6k,C++,3D,A brief computer graphics / rendering course
lettier / 3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,18.5k,C++,3D,"🎮 A step-by-step guide to implementing SSAO, depth of field, lighting, normal mapping, and more for your 3D game."
aframevr / aframe,https://github.com/aframevr/aframe,17k,JavaScript,3D,Web framework for building virtual reality experiences.
blender / blender,https://github.com/blender/blender,14.7k,C++,3D,Official mirror of Blender
prettier / prettier,https://github.com/prettier/prettier,50.2k,JavaScript,Angular,Prettier is an opinionated code formatter.
Asabeneh / 30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,44.2k,JavaScript,Angular,"30 days of JavaScript programming challenge is a step-by-step guide to learn JavaScript programming language in 30 days. This challenge may take more than 100 days, please just follow your own pace. These videos may help too:"
SheetJS / sheetjs,https://github.com/SheetJS/sheetjs,35.5k,Unknown,Angular,📗 SheetJS Spreadsheet Data Toolkit -- New home
wailsapp / wails,https://github.com/wailsapp/wails,27.5k,Go,Angular,Create beautiful applications using Go
angular / angular-cli,https://github.com/angular/angular-cli,26.9k,TypeScript,Angular,CLI tool for Angular
jquery-form / form,https://github.com/jquery-form/form,5.2k,JavaScript,Ajax,jQuery Form Plugin
elbywan / wretch,https://github.com/elbywan/wretch,4.9k,TypeScript,Ajax,A tiny wrapper built around fetch with an intuitive syntax. 🍬
Studio-42 / elFinder,https://github.com/Studio-42/elFinder,4.7k,JavaScript,Ajax,"📁 Open-source file manager for web, written in JavaScript using jQuery and jQuery UI"
CesiumGS / cesium,https://github.com/CesiumGS/cesium,13.5k,JavaScript,3D,An open-source JavaScript library for world-class 3D globes and maps 🌎
4ian / GDevelop,https://github.com/4ian/GDevelop,13.5k,JavaScript,3D,"🎮 Open-source, cross-platform 2D/3D/multiplayer game engine designed for everyone."
isl-org / Open3D,https://github.com/isl-org/Open3D,12.1k,C++,3D,Open3D: A Modern Library for 3D Data Processing
MonoGame / MonoGame,https://github.com/MonoGame/MonoGame,11.9k,C#,3D,One framework for creating powerful cross-platform games.
paperless-ngx / paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,26.1k,Python,Angular,"A community-supported supercharged version of paperless: scan, index and archive all your physical documents"
sudheerj / javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,25.4k,JavaScript,Angular,List of 1000 JavaScript Interview Questions
nrwl / nx,https://github.com/nrwl/nx,25.1k,TypeScript,Angular,"Build system, optimized for monorepos, with AI-powered architectural awareness and advanced CI capabilities."
alovajs / alova,https://github.com/alovajs/alova,3.3k,TypeScript,Ajax,"Workflow-Streamlined next-generation request tools. Extremely streamline API integration workflow, just one step"
dwyl / learn-to-send-email-via-google-script-html-no-server,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,3.2k,HTML,Ajax,"📧 An Example of using an HTML form (e.g: ""Contact Us"" on a website) to send Email without a Backend Server (using a Google Script) perfect for static websites that need to collect data."
ded / reqwest,https://github.com/ded/reqwest,2.9k,JavaScript,Ajax,browser asynchronous http requests
wendux / ajax-hook,https://github.com/wendux/ajax-hook,2.6k,JavaScript,Ajax,Intercepting browser's http requests which made by XMLHttpRequest.
jwasham / coding-interview-university,https://github.com/jwasham/coding-interview-university,314k,Unknown,Algorithm,A complete computer science study plan to become a software engineer.
mapbox / mapbox-gl-js,https://github.com/mapbox/mapbox-gl-js,11.5k,TypeScript,3D,"Interactive, thoroughly customizable maps in the browser, powered by vector tiles and WebGL"
metafizzy / zdog,https://github.com/metafizzy/zdog,10.5k,JavaScript,3D,"Flat, round, designer-friendly pseudo-3D engine for canvas & SVG"
nerfstudio-project / nerfstudio,https://github.com/nerfstudio-project/nerfstudio,10k,Python,3D,A collaboration friendly studio for NeRFs
DavidHDev / react-bits,https://github.com/DavidHDev/react-bits,10k,JavaScript,3D,"An open source collection of animated, interactive & fully customizable React components for building stunning, memorable user interfaces."
timzhang642 / 3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,9.9k,Unknown,3D,A resource repository for 3D machine learning
NativeScript / NativeScript,https://github.com/NativeScript/NativeScript,24.7k,TypeScript,Angular,"⚡ Empowering JavaScript with native platform APIs. ✨ Best of all worlds (TypeScript, Swift, Objective C, Kotlin, Java, Dart). Use what you love ❤️ Angular, React, Solid, Svelte, Vue with: iOS (UIKit, SwiftUI), Android (View, Jetpack Compose), Dart (Flutter) and you name it compatible."
angular / components,https://github.com/angular/components,24.6k,TypeScript,Angular,Component infrastructure and Material Design components for Angular
goldbergyoni / javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,24.3k,JavaScript,Angular,📗🌐 🚢 Comprehensive and exhaustive JavaScript & Node.js testing best practices (July 2023)
pubkey / rxdb,https://github.com/pubkey/rxdb,22.2k,TypeScript,Angular,"A fast, local first, reactive Database for JavaScript Applications"
LeaVerou / bliss,https://github.com/LeaVerou/bliss,2.4k,JavaScript,Ajax,Blissful JavaScript
noelboss / featherlight,https://github.com/noelboss/featherlight,2.1k,JavaScript,Ajax,"Featherlight is a very lightweight jQuery lightbox plugin. It's simple yet flexible and easy to use. Featherlight has minimal css and uses no inline styles, everything is name-spaced, it's completely customizable via config object and offers image, ajax and iframe support out of the box. Featherlights small footprint weights about 4kB – in total."
craftpip / jquery-confirm,https://github.com/craftpip/jquery-confirm,1.9k,JavaScript,Ajax,"A multipurpose plugin for alert, confirm & dialog, with extended features."
k8w / tsrpc,https://github.com/k8w/tsrpc,1.8k,TypeScript,Ajax,"A TypeScript RPC framework, with runtime type checking and serialization, support both HTTP and WebSocket. It is very suitable for website / APP / games, and absolutely comfortable to full-stack TypeScript developers."
TheAlgorithms / Python,https://github.com/TheAlgorithms/Python,199k,Python,Algorithm,All Algorithms implemented in Python
trekhleb / javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,191k,JavaScript,Algorithm,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
CyC2018 / CS-Notes,https://github.com/CyC2018/CS-Notes,180k,Unknown,Algorithm,📚 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
microsoft / TRELLIS,https://github.com/microsoft/TRELLIS,8.8k,Python,3D,"Official repo for paper ""Structured 3D Latents for Scalable and Versatile 3D Generation"" (CVPR'25)."
cocos / cocos-engine,https://github.com/cocos/cocos-engine,8.5k,C++,3D,"Cocos simplifies game creation and distribution with Cocos Creator, a free, open-source, cross-platform game engine. Empowering millions of developers to create high-performance, engaging 2D/3D games and instant web entertainment."
jhipster / generator-jhipster,https://github.com/jhipster/generator-jhipster,21.8k,TypeScript,Angular,"JHipster is a development platform to quickly generate, develop, & deploy modern web applications & microservice architectures."
teambit / bit,https://github.com/teambit/bit,18k,TypeScript,Angular,A build system for development of composable software.
jasontaylordev / CleanArchitecture,https://github.com/jasontaylordev/CleanArchitecture,17.8k,C#,Angular,Clean Architecture Solution Template for ASP.NET Core
nette / tracy,https://github.com/nette/tracy,1.8k,PHP,Ajax,"😎 Tracy: the addictive tool to ease debugging PHP code for cool developers. Friendly design, logging, profiler, advanced features like debugging AJAX calls or CLI support. You will love it."
taoensso / sente,https://github.com/taoensso/sente,1.8k,Clojure,Ajax,Realtime web comms library for Clojure/Script
loadingio / css-spinner,https://github.com/loadingio/css-spinner,1.8k,JavaScript,Ajax,"small, elegant pure css spinner for ajax or loading animation"
yangshun / tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,125k,TypeScript,Algorithm,💯 Curated coding interview preparation materials for busy software engineers
krahets / hello-algo,https://github.com/krahets/hello-algo,111k,Java,Algorithm,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 代码。简体版和繁体版同步更新，English version ongoing"
kdn251 / interviews,https://github.com/kdn251/interviews,64.1k,Java,Algorithm,Everything you need to know to get the job.
TheAlgorithms / Java,https://github.com/TheAlgorithms/Java,61.2k,Java,Algorithm,All Algorithms implemented in Java
codingforentrepreneurs / eCommerce,https://github.com/codingforentrepreneurs/eCommerce,1.6k,Python,Ajax,"We're going to take you step-by-step to build a modern, fully open-source, eCommerce web application using Python, Django, Bootstrap, Javascript, and more."
joaomilho / Enterprise,https://github.com/joaomilho/Enterprise,1.6k,JavaScript,Ajax,🦄 The Enterprise™ programming language
azl397985856 / leetcode,https://github.com/azl397985856/leetcode,55.2k,JavaScript,Algorithm,LeetCode Solutions: A Record of My Problem Solving Journey.( leetcode题解，记录自己的leetcode解题之路。)
youngyangyang04 / leetcode-master,https://github.com/youngyangyang04/leetcode-master,55.2k,Shell,Algorithm,《代码随想录》LeetCode 刷题攻略：200道经典题目刷题顺序，共60w字的详细图解，视频难点剖析，50余张思维导图，支持C++，Java，Python，Go，JavaScript等多语言版本，从此算法学习不再迷茫！🔥🔥 来看看，你会发现相见恨晚！🚀
algorithm-visualizer / algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,47.3k,JavaScript,Algorithm,🎆Interactive Online Platform that Visualizes Algorithms from Code
huihut / interview,https://github.com/huihut/interview,35.8k,C++,Algorithm,"📚 C/C++ 技术面试基础知识总结，包括语言、程序库、数据结构、算法、系统、网络、链接装载库等知识及面试经验、招聘、内推等信息。This repository is a summary of the basic knowledge of recruiting job seekers and beginners in the direction of C/C++ technology, including language, program library, data structure, algorithm, system, network, link loading library, interview experience, recruitment, recommendation…"
halfrost / LeetCode-Go,https://github.com/halfrost/LeetCode-Go,33.4k,Go,Algorithm,"✅ Solutions to LeetCode by Go, 100% test coverage, runtime beats 100% / LeetCode 题解"
TheAlgorithms / JavaScript,https://github.com/TheAlgorithms/JavaScript,33k,JavaScript,Algorithm,"Algorithms and Data Structures implemented in JavaScript for beginners, following best practices."
TheAlgorithms / C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,31.5k,C++,Algorithm,"Collection of various algorithms in mathematics, machine learning, computer science and physics implemented in C++ for educational purposes."
donnemartin / interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,30.1k,Python,Algorithm,120+ interactive Python coding interview challenges (algorithms and data structures). Includes Anki flashcards.
crossoverJie / JCSprout,https://github.com/crossoverJie/JCSprout,27.1k,Java,Algorithm,"👨‍🎓 Java Core Sprout : basic, concurrent, algorithm"
AtsushiSakai / PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,24.6k,Python,Algorithm,Python sample codes and textbook for robotics algorithms.
keon / algorithms,https://github.com/keon/algorithms,24.4k,Python,Algorithm,Minimal examples of data structures and algorithms in Python
mxgmn / WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,23.9k,C#,Algorithm,Bitmap & tilemap generation from a single example with the help of ideas from quantum mechanics
bregman-arie / devops-exercises,https://github.com/bregman-arie/devops-exercises,72.6k,Python,Amazon Web Services,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions"
ByteByteGoHq / system-design-101,https://github.com/ByteByteGoHq/system-design-101,71.4k,Unknown,Amazon Web Services,Explain complex systems using visuals and simple terms. Help you prepare for system design interviews.
localstack / localstack,https://github.com/localstack/localstack,58.3k,Python,Amazon Web Services,💻 A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline
serverless / serverless,https://github.com/serverless/serverless,46.6k,JavaScript,Amazon Web Services,"⚡ Serverless Framework – Effortlessly build apps that auto-scale, incur zero costs when idle, and require minimal maintenance using AWS Lambda and other managed cloud services."
donnemartin / data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,28k,Python,Amazon Web Services,"Data science Python notebooks: Deep learning (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, big data (Spark, Hadoop MapReduce, HDFS), matplotlib, pandas, NumPy, SciPy, Python essentials, AWS, and various command lines."
danny-avila / LibreChat,https://github.com/danny-avila/LibreChat,23.9k,TypeScript,Amazon Web Services,"Enhanced ChatGPT Clone: Features Agents, DeepSeek, Anthropic, AWS, OpenAI, Assistants API, Azure, Groq, o1, GPT-4o, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active project."
pulumi / pulumi,https://github.com/pulumi/pulumi,22.8k,Go,Amazon Web Services,Pulumi - Infrastructure as Code in any programming language 🚀
getsops / sops,https://github.com/getsops/sops,18.1k,Go,Amazon Web Services,Simple and flexible tool for managing secrets
kubernetes-sigs / kubespray,https://github.com/kubernetes-sigs/kubespray,16.8k,Jinja,Amazon Web Services,Deploy a Production Ready Kubernetes Cluster
aws / aws-cli,https://github.com/aws/aws-cli,15.9k,Python,Amazon Web Services,Universal Command Line Interface for Amazon Web Services
milanm / DevOps-Roadmap,https://github.com/milanm/DevOps-Roadmap,15.4k,Unknown,Amazon Web Services,DevOps Roadmap for 2025. with learning resources
ramitsurana / awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,15.3k,Shell,Amazon Web Services,A curated list for awesome kubernetes sources 🚢🎉
caprover / caprover,https://github.com/caprover/caprover,13.8k,TypeScript,Amazon Web Services,Scalable PaaS (automated Docker+nginx) - aka Heroku on Steroids
GoogleCloudPlatform / terraformer,https://github.com/GoogleCloudPlatform/terraformer,13.4k,Go,Amazon Web Services,CLI tool to generate terraform files from existing infrastructure (reverse Terraform). Infrastructure to Code
donnemartin / awesome-aws,https://github.com/donnemartin/awesome-aws,12.8k,Python,Amazon Web Services,"A curated list of awesome Amazon Web Services (AWS) libraries, open source repos, guides, blogs, and other resources. Featuring the Fiery Meter of AWSome."
